LotArea,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageArea,GrLivArea,MSSubClass,OverallCond,SalePrice
8450,2003,856,856,854,2,3,8,548,1710,60,5,208500
9600,1976,1262,1262,0,2,3,6,460,1262,20,8,181500
11250,2001,920,920,866,2,3,6,608,1786,60,5,223500
9550,1915,756,961,756,1,3,7,642,1717,70,5,140000
14260,2000,1145,1145,1053,2,4,9,836,2198,60,5,250000
14115,1993,796,796,566,1,1,5,480,1362,50,5,143000
10084,2004,1686,1694,0,2,3,7,636,1694,20,5,307000
10382,1973,1107,1107,983,2,3,7,484,2090,60,6,200000
6120,1931,952,1022,752,2,2,8,468,1774,50,5,129900
7420,1939,991,1077,0,1,2,5,205,1077,190,6,118000
11200,1965,1040,1040,0,1,3,5,384,1040,20,5,129500
11924,2005,1175,1182,1142,3,4,11,736,2324,60,5,345000
12968,1962,912,912,0,1,2,4,352,912,20,6,144000
10652,2006,1494,1494,0,2,3,7,840,1494,20,5,279500
10920,1960,1253,1253,0,1,2,5,352,1253,20,5,157000
6120,1929,832,854,0,1,2,5,576,854,45,8,132000
11241,1970,1004,1004,0,1,2,5,480,1004,20,7,149000
10791,1967,0,1296,0,2,2,6,516,1296,90,5,90000
13695,2004,1114,1114,0,1,3,6,576,1114,20,5,159000
7560,1958,1029,1339,0,1,3,6,294,1339,20,6,139000
14215,2005,1158,1158,1218,3,4,9,853,2376,60,5,325300
7449,1930,637,1108,0,1,3,6,280,1108,45,7,139400
9742,2002,1777,1795,0,2,3,7,534,1795,20,5,230000
4224,1976,1040,1060,0,1,3,6,572,1060,120,7,129900
8246,1968,1060,1060,0,1,3,6,270,1060,20,8,154000
14230,2007,1566,1600,0,2,3,7,890,1600,20,5,256300
7200,1951,900,900,0,1,3,5,576,900,20,7,134800
11478,2007,1704,1704,0,2,3,7,772,1704,20,5,306000
16321,1957,1484,1600,0,1,2,6,319,1600,20,6,207500
6324,1927,520,520,0,1,1,4,240,520,30,6,68500
8500,1920,649,649,668,1,3,6,250,1317,70,4,40000
8544,1966,1228,1228,0,1,3,6,271,1228,20,6,149350
11049,2007,1234,1234,0,2,3,7,484,1234,20,5,179900
10552,1959,1398,1700,0,1,4,6,447,1700,20,5,165500
7313,2005,1561,1561,0,2,2,6,556,1561,120,5,277500
13418,2004,1117,1132,1320,3,4,9,691,2452,60,5,309000
10859,1994,1097,1097,0,1,3,6,672,1097,20,5,145000
